forwarders;clients;processes;layout;spatiality;odirect;stonewall;request;total;operation;time;transfered;bandwidth
1;32;384;1;1;1;60;512;16777216;write;60.8398;4993.0;82.06799
1;32;384;1;1;1;60;4096;16777216;write;62.27719;29000.0;465.66003
1;8;96;0;0;1;60;8192;16777216;write;61.72939;29352.0;475.49471
8;8;96;1;0;1;60;512;16777216;write;60.23721;24909.0;413.51519
4;32;768;1;0;1;60;1024;16777216;write;60.53481;51951.0;858.20037
2;8;96;0;0;1;60;4096;16777216;write;60.8548;33624.0;552.5283
8;32;1536;1;0;1;60;4096;16777216;write;62.73387;112524.0;1793.67231
2;8;96;1;1;1;60;32;16777216;write;61.21448;401.5;6.55891
2;32;768;1;0;1;60;8192;16777216;write;63.82379;34928.0;547.25674
1;32;768;1;0;1;60;8192;16777216;write;65.50022;17968.0;274.31968
4;16;768;1;1;1;60;1024;16777216;write;60.65622;70006.0;1154.14382
8;16;768;0;0;1;60;128;16777216;write;61.03443;4877.625;79.91595
8;16;384;1;0;1;60;128;16777216;write;61.12882;5247.0;85.83513
8;32;768;1;0;1;60;8192;16777216;write;62.64678;143760.0;2294.77078
1;16;192;1;0;1;60;32;16777216;write;61.224;160.0625;2.61438
1;16;768;1;0;1;60;1024;16777216;write;62.63584;11185.0;178.57189
4;8;192;0;0;1;60;8192;16777216;write;61.04961;60336.0;988.31105
2;16;768;1;0;1;60;1024;16777216;write;60.62315;25160.0;415.02295
8;8;96;0;0;1;60;8192;16777216;write;60.70064;82216.0;1354.45038
4;32;768;1;0;1;60;8192;16777216;write;63.67301;46208.0;725.7078
4;32;1536;0;0;1;60;128;16777216;write;63.31966;4169.5;65.84843
4;32;1536;0;0;1;60;1024;16777216;write;61.29228;63109.0;1029.64028
8;8;192;1;1;1;60;1024;16777216;write;60.12471;94539.0;1572.38182
4;8;384;1;0;1;60;4096;16777216;write;60.81095;54988.0;904.2451
4;32;1536;0;0;1;60;128;16777216;write;62.56255;6847.75;109.45445
1;16;768;1;0;1;60;1024;16777216;write;61.49491;9141.0;148.64644
4;32;384;1;1;1;60;4096;16777216;write;60.7969;87900.0;1445.79736
2;16;768;1;0;1;60;1024;16777216;write;60.9456;47824.0;784.6998
8;16;192;1;0;1;60;32;16777216;write;60.36424;5513.90625;91.34392
8;16;384;1;0;1;60;128;16777216;write;60.26089;17187.625;285.22024
8;32;1536;1;1;1;60;512;16777216;write;60.63388;51932.0;856.48485
1;16;192;1;0;1;60;32;16777216;write;60.42051;396.875;6.56855
2;32;1536;1;0;1;60;1024;16777216;write;61.23249;54519.0;890.36063
2;8;192;1;1;1;60;8192;16777216;write;61.81482;42792.0;692.26113
1;16;768;0;0;1;60;128;16777216;write;60.92562;1520.875;24.96281
4;32;768;1;0;1;60;1024;16777216;write;60.89499;67982.0;1116.3809
4;8;192;0;0;1;60;8192;16777216;write;60.93032;87792.0;1440.8589
2;32;768;1;0;1;60;1024;16777216;write;61.36905;35408.0;576.9684
8;32;1536;0;0;1;60;1024;16777216;write;61.19145;137754.0;2251.19695
2;16;768;0;0;1;60;128;16777216;write;60.87383;1680.0;27.59806
2;8;96;1;1;1;60;32;16777216;write;60.2169;433.28125;7.19534
1;32;384;1;1;1;60;4096;16777216;write;62.45154;24876.0;398.32481
2;32;1536;1;0;1;60;4096;16777216;write;64.1173;54384.0;848.19536
8;32;1536;1;0;1;60;4096;16777216;write;62.72911;142328.0;2268.93067
4;16;384;1;0;1;60;8192;16777216;write;61.83195;82552.0;1335.10272
1;8;96;0;0;1;60;4096;16777216;write;60.89021;23204.0;381.0793
1;8;96;1;1;1;60;32;16777216;write;60.58409;388.75;6.4167
2;16;384;1;0;1;60;8192;16777216;write;61.61517;40400.0;655.68271
1;8;192;1;1;1;60;8192;16777216;write;65.30064;16832.0;257.76166
8;16;384;1;0;1;60;8192;16777216;write;61.8439;114472.0;1850.98303
8;16;768;0;0;1;60;128;16777216;write;60.75386;5260.5;86.58708
4;8;96;1;1;1;60;32;16777216;write;61.11828;473.375;7.74523
4;16;192;1;0;1;60;32;16777216;write;60.37103;1290.59375;21.3777
2;16;192;1;1;1;60;128;16777216;write;60.44503;1818.5;30.08519
