forwarders;clients;processes;layout;spatiality;odirect;stonewall;request;total;operation;time;transfered;bandwidth
4;8;192;0;0;1;60;1024;131072;write;60.42295;57754.0;955.82886
2;16;192;1;1;1;60;6144;131072;write;65.51413;9180.0;140.12245
2;32;384;0;0;1;60;128;131072;write;60.4243;74756.0;1237.18442
8;8;192;1;1;1;60;512;131072;write;61.85617;1698.5;27.45886
2;32;1536;0;0;1;60;1024;131072;write;62.75236;22007.0;350.69598
4;16;192;1;0;1;60;4096;131072;write;65.46473;8088.0;123.54744
1;32;384;1;0;1;60;4096;131072;write;66.69372;9008.0;135.06519
1;8;192;1;0;1;60;32;131072;write;60.28395;8332.34375;138.21827
8;32;768;1;0;1;60;512;131072;write;64.59711;3589.5;55.5675
4;16;192;1;1;1;60;128;131072;write;60.12471;12776.0;212.49167
4;8;192;1;1;1;60;32;131072;write;60.04356;9027.0625;150.3419
4;32;1536;1;1;1;60;128;131072;write;60.21337;20834.5;346.01121
8;16;384;1;1;1;60;6144;131072;write;78.28591;8250.0;105.38295
2;32;384;1;1;1;60;512;131072;write;64.09636;2305.5;35.96928
4;16;192;1;0;1;60;8192;131072;write;67.92933;10976.0;161.57968
1;16;192;0;0;1;60;1024;131072;write;61.02663;12642.0;207.15545
2;32;1536;0;0;1;60;8192;131072;write;65.27416;97848.0;1499.03126
8;32;384;1;1;1;60;512;131072;write;66.03301;1242.0;18.80877
4;8;96;1;0;1;60;4096;131072;write;63.29743;9152.0;144.58723
8;32;384;0;0;1;60;8192;131072;write;17.17071;129024.0;7514.19204
2;32;384;1;1;1;60;4096;131072;write;69.64385;8660.0;124.34694
1;16;192;0;0;1;60;4096;131072;write;60.8836;27632.0;453.84961
4;32;384;1;0;1;60;8192;131072;write;71.23658;16424.0;230.55572
1;32;768;0;0;1;60;8192;131072;write;71.372;49128.0;688.33712
8;32;768;1;1;1;60;128;131072;write;60.15;16921.75;281.32584
2;8;384;1;0;1;60;4096;131072;write;66.05263;12208.0;184.82231
8;16;192;1;0;1;60;6144;131072;write;67.26088;7428.0;110.43566
1;8;96;0;0;1;60;32;131072;write;60.0064;12744.21875;212.38099
1;8;96;1;1;1;60;8192;131072;write;64.5176;7792.0;120.77324
8;32;768;1;0;1;60;8192;131072;write;93.17395;15104.0;162.1054
8;32;768;1;0;1;60;4096;131072;write;75.2078;11364.0;151.10135
8;32;384;1;1;1;60;32;131072;write;60.09407;7873.65625;131.02218
8;16;384;1;1;1;60;32;131072;write;60.04513;9505.25;158.30176
4;32;768;1;0;1;60;128;131072;write;60.68386;14215.125;234.24884
4;8;384;1;1;1;60;512;131072;write;65.27687;1518.5;23.26245
4;32;768;0;0;1;60;4096;131072;write;53.79042;129024.0;2398.64255
1;8;96;1;0;1;60;6144;131072;write;65.08715;5772.0;88.68109
1;8;96;0;0;1;60;128;131072;write;60.0784;38079.875;633.83637
4;8;192;1;0;1;60;128;131072;write;60.08049;15008.875;249.81281
2;8;384;1;1;1;60;8192;131072;write;72.43226;17488.0;241.4394
2;8;96;0;0;1;60;8192;131072;write;60.34371;120656.0;1999.47941
8;8;192;1;0;1;60;6144;131072;write;68.75242;6834.0;99.40014
2;16;384;1;1;1;60;32;131072;write;60.03366;9075.875;151.17978
4;32;768;0;0;1;60;128;131072;write;60.0224;120063.75;2000.31569
4;32;1536;1;0;1;60;4096;131072;write;95.68091;12052.0;125.96033
1;32;1536;0;0;1;60;1024;131072;write;63.79292;9202.0;144.24798
2;32;1536;1;1;1;60;8192;131072;write;104.04128;18392.0;176.77599
2;8;96;1;1;1;60;1024;131072;write;61.30954;5030.0;82.04269
2;16;768;1;1;1;60;8192;131072;write;81.90248;15216.0;185.78192
1;8;96;1;0;1;60;8192;131072;write;63.46308;8680.0;136.77243
2;16;192;0;0;1;60;128;131072;write;60.07324;74746.625;1244.25817
1;8;384;1;0;1;60;32;131072;write;60.01083;8064.28125;134.38044
1;16;384;0;0;1;60;4096;131072;write;60.82875;28568.0;469.64633
1;16;192;1;1;1;60;128;131072;write;60.13317;8734.375;145.25053
8;32;768;1;0;1;60;32;131072;write;60.64249;9156.5;150.99149
4;16;192;1;0;1;60;6144;131072;write;65.20924;7710.0;118.23477
4;8;384;1;1;1;60;6144;131072;write;76.33127;8586.0;112.48339
4;16;768;0;0;1;60;6144;131072;write;52.54403;129024.0;2455.54079
8;8;384;1;0;1;60;128;131072;write;60.48201;12879.125;212.94142
8;8;192;0;0;1;60;6144;131072;write;25.12389;130176.0;5181.3624
1;16;768;1;1;1;60;1024;131072;write;63.9015;6073.0;95.0369
4;8;192;1;1;1;60;512;131072;write;61.27635;2169.0;35.39702
8;8;384;1;1;1;60;1024;131072;write;68.11289;2175.0;31.93228
8;32;384;1;0;1;60;512;131072;write;61.49698;4346.5;70.67827
8;32;1536;0;0;1;60;4096;131072;write;36.25881;129024.0;3558.41763
4;16;384;0;0;1;60;512;131072;write;60.42139;28099.5;465.05878
4;32;384;1;0;1;60;1024;131072;write;62.52402;6038.0;96.57089
8;16;768;1;1;1;60;512;131072;write;68.98202;1613.5;23.39015
1;8;96;1;1;1;60;512;131072;write;60.97188;2665.5;43.71688
8;8;192;0;0;1;60;8192;131072;write;18.44864;130560.0;7076.94597
2;16;768;1;0;1;60;4096;131072;write;78.55311;13464.0;171.39996
